rating,company_name,job_title,salary,salaries_reported,location,employment_status,job_roles,salary_currency,salary_usd
4.3,Vmoksha Technologies,Android,228000,2,Bangalore,Full Time,Android,INR,2736.0
2.9,Artoo,Android,400000,2,Bangalore,Full Time,Android,INR,4800.0
3.8,Edelweiss Financial Services,Android,600000,2,Bangalore,Full Time,Android,INR,7200.0
4.0,Hubbler,Android,400000,2,Bangalore,Full Time,Android,INR,4800.0
3.5,L&T Technology Services,Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
3.0,Rossitek Mobile Apps Development,Android,216000,2,Bangalore,Full Time,Android,INR,2592.0
1.0,Pricyfy,Android,216000,2,Bangalore,Full Time,Android,INR,2592.0
2.9,MYNEWCAR,Android,300000,2,Bangalore,Full Time,Android,INR,3600.0
4.1,IBM,Android,540000,2,Bangalore,Full Time,Android,INR,6480.0
3.7,Panel Coder Software Technologies,Android,400000,2,Bangalore,Full Time,Android,INR,4800.0
3.9,Knitter,Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
3.8,3Embed Software Technologies,Android,400000,2,Bangalore,Full Time,Android,INR,4800.0
4.5,FitnyTech,Android,252000,2,Bangalore,Full Time,Android,INR,3024.0
4.8,CRK Gida Technologies,Android,700000,2,Bangalore,Full Time,Android,INR,8400.0
4.6,Outthinking,Android,200000,2,Bangalore,Full Time,Android,INR,2400.0
2.8,iMars Technologies,Android,156000,2,Bangalore,Full Time,Android,INR,1872.0
4.7,GreedyGame,Android,348000,2,Bangalore,Intern,Android,INR,4176.0
4.1,In Time Tec,Android,600000,2,Bangalore,Full Time,Android,INR,7200.0
4.3,IndGlobal,Android,300000,2,Bangalore,Full Time,Android,INR,3600.0
4.1,CYBERNETYX Interaktiv,Android,864000,2,Bangalore,Full Time,Android,INR,10368.0
3.7,Karabi Software,Android,120000,2,Bangalore,Full Time,Android,INR,1440.0
4.3,Keyfalcon Solutions,Android,400000,2,Bangalore,Full Time,Android,INR,4800.0
3.9,ABCDEF,Android,168000,2,Bangalore,Full Time,Android,INR,2016.0
4.6,Cumulations Technologies,Android,400000,2,Bangalore,Full Time,Android,INR,4800.0
5.0,powerplay app,Android,1000000,2,Bangalore,Full Time,Android,INR,12000.0
4.0,Fembuddy,Android,420000,2,Bangalore,Full Time,Android,INR,5040.0
4.5,Blewsoft Technologies,Android,240000,2,Bangalore,Full Time,Android,INR,2880.0
3.9,HARMAN,Android,700000,2,Bangalore,Full Time,Android,INR,8400.0
3.2,Oust Labs,Android,396000,2,Bangalore,Full Time,Android,INR,4752.0
4.0,Kaskeid Designs,Android,264000,2,Bangalore,Full Time,Android,INR,3168.0
3.6,TruKKer Technologies,Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
3.3,Datamatics Global Services,Android,1000000,2,Bangalore,Full Time,Android,INR,12000.0
3.1,Grabhouse,Android,672000,2,Bangalore,Full Time,Android,INR,8064.0
2.8,Msewa Software Solution,Android,276000,2,Bangalore,Full Time,Android,INR,3312.0
3.8,Honeywell,Android,800000,2,Bangalore,Full Time,Android,INR,9600.0
3.7,Prematix Software Solution,Android,200000,2,Bangalore,Full Time,Android,INR,2400.0
3.4,Provab Technosoft,Android,492000,2,Bangalore,Full Time,Android,INR,5904.0
3.0,Ai-Connect,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
3.3,Idea infinity IT Solutions,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.1,Developer On Rent,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.0,OZOPROP Technologies,Android,432000,1,Bangalore,Full Time,Android,INR,5184.0
3.7,ThinkTac,Android,200000,1,Bangalore,Intern,Android,INR,2400.0
4.3,Ashwin Infotrron,Android,1188000,1,Bangalore,Full Time,Android,INR,14256.0
4.5,Housejoy,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
5.0,Proven Solution,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
5.0,Blooms Mobility Technologies,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.9,DT Consulting,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.8,Kartel Technosoft,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.9,Philips,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
3.4,Vensure Employer Services,Android,732000,1,Bangalore,Full Time,Android,INR,8784.0
4.5,QuHu,Android,120000,1,Bangalore,Intern,Android,INR,1440.0
4.1,Software Developers,Android,684000,1,Bangalore,Full Time,Android,INR,8208.0
4.0,Livwell holding,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
3.8,Uolo Technology,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
3.3,MSL Learning Systems,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.8,Fermedicius Labs,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.7,ABC Tech,Android,852000,1,Bangalore,Full Time,Android,INR,10224.0
4.3,SpurTree Technologies,Android,700000,1,Bangalore,Full Time,Android,INR,8400.0
4.0,Grab (India),Android,1200000,1,Bangalore,Full Time,Android,INR,14400.0
3.9,42Gears Mobility Systems,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
4.1,Tata,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.1,Kruzr,Android,228000,1,Bangalore,Full Time,Android,INR,2736.0
4.0,NimbusParc TechnoLab,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.3,NvestCampus,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.4,nth Exam,Android,252000,1,Bangalore,Intern,Android,INR,3024.0
4.0,ThreeFiveEight,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.0,Familybirdz Tech,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.4,Photon,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.5,Money View,Android,468000,1,Bangalore,Intern,Android,INR,5616.0
4.6,Masai School,Android,800000,1,Bangalore,Intern,Android,INR,9600.0
4.7,Sanjay Kandoth MD,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.2,Volvo Group,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
3.6,Quess,Android Developer - Contractor,700000,1,Bangalore,Contractor,Android,INR,8400.0
3.9,OnMobile,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
3.5,Nymo,Android,700000,1,Bangalore,Full Time,Android,INR,8400.0
4.3,Immerpact,Android,264000,1,Bangalore,Full Time,Android,INR,3168.0
4.5,FinBox,Android,240000,1,Bangalore,Intern,Android,INR,2880.0
4.4,Webloom,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
3.8,Hexwhale,Android,120000,1,Bangalore,Full Time,Android,INR,1440.0
4.5,Indian Institute of Science,Android,408000,1,Bangalore,Full Time,Android,INR,4896.0
3.9,Landmark Group,Android Developer - Contractor,1000000,1,Bangalore,Contractor,Android,INR,12000.0
4.1,Codeinks Software,Android,228000,1,Bangalore,Full Time,Android,INR,2736.0
3.9,Zyoin,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.1,Adjetter,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
3.9,Ultimate tek Solutions,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.8,Bounce,Android,700000,1,Bangalore,Full Time,Android,INR,8400.0
2.4,iServices,Android Developer - Contractor,500000,1,Bangalore,Contractor,Android,INR,6000.0
3.9,IonIdea,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
3.7,inGen Dynamics,Android,228000,1,Bangalore,Full Time,Android,INR,2736.0
3.8,ITC,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
5.0,ID Foundry,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
3.4,FanFight,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.8,Intugine Technologies,Android,216000,1,Bangalore,Intern,Android,INR,2592.0
4.0,Deloitte,Android,1200000,1,Bangalore,Full Time,Android,INR,14400.0
4.3,Noon Academy,Android,1300000,1,Bangalore,Full Time,Android,INR,15600.0
3.5,Allstate,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.7,NIIT,Android,120000,1,Bangalore,Full Time,Android,INR,1440.0
2.4,Chromozome Network,Android,192000,1,Bangalore,Full Time,Android,INR,2304.0
4.1,MoEngage,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.0,Maven Cluster Software,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.0,Nerve Centrex Software,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.1,Nitish Verma,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.1,Sulopa Solutions,Android,144000,1,Bangalore,Full Time,Android,INR,1728.0
2.2,ZINOHA PHARMACY,Android,672000,1,Bangalore,Full Time,Android,INR,8064.0
4.2,Tarento,Android,312000,1,Bangalore,Full Time,Android,INR,3744.0
4.0,Freshers.com,Android,348000,1,Bangalore,Full Time,Android,INR,4176.0
3.8,Kavin Corporation,Android,480000,1,Bangalore,Full Time,Android,INR,5760.0
4.0,Mantra Labs,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
3.3,Ola,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.8,Amazon,Android,228000,1,Bangalore,Full Time,Android,INR,2736.0
4.4,Alfalasi Tech,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
5.0,Qualtech Telesys,Android,408000,1,Bangalore,Full Time,Android,INR,4896.0
4.0,Insigma Vision,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
5.0,Cogcons,Android,432000,1,Bangalore,Full Time,Android,INR,5184.0
3.1,Thampy Digital,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
2.7,Khosla Labs,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
4.5,Mindera,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
3.7,Paytm Money,Android,1900000,1,Bangalore,Full Time,Android,INR,22800.0
4.6,Magna Health Solutions,Android,180000,1,Bangalore,Full Time,Android,INR,2160.0
3.7,Fujitsu,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
4.0,AppiVa Software,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.0,IrisActive Communications,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
5.0,Synxgen,Android,252000,1,Bangalore,Full Time,Android,INR,3024.0
4.0,Arcomatic,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
3.9,Zvky Design,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.6,Apogee Global,Android,192000,1,Bangalore,Full Time,Android,INR,2304.0
4.0,Practo Technologies,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
4.3,IT Contractors,Android,360000,1,Bangalore,Full Time,Android,INR,4320.0
4.0,Meesho,Android,1400000,1,Bangalore,Full Time,Android,INR,16800.0
4.6,Citrin Technologies,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.8,LocalRamu,Android,252000,1,Bangalore,Full Time,Android,INR,3024.0
4.2,21North Europ Assistance,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.5,CRED,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.1,Inquirly,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.0,ASZ Technologies,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
3.2,Geepas,Android,408000,1,Bangalore,Full Time,Android,INR,4896.0
4.2,CodeGama,Android,624000,1,Bangalore,Full Time,Android,INR,7488.0
3.8,Globex Digital Solutions,Android,1400000,1,Bangalore,Full Time,Android,INR,16800.0
4.4,Mentric Group,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.2,Across The Globe,Android,240768,1,Bangalore,Full Time,Android,INR,2889.216
5.0,MyCotra,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
4.3,Youth Empowerment Foundation,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
5.0,Cloud Can Technologies,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.6,ZipGo,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.0,HostRider,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.9,PayCraft Solutions,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.0,teleChikitsa,Android,216000,1,Bangalore,Full Time,Android,INR,2592.0
3.8,DynPro,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
3.0,eValai Infotech,Android,576000,1,Bangalore,Full Time,Android,INR,6912.0
4.0,Hughes Systique,Android,720000,1,Bangalore,Full Time,Android,INR,8640.0
4.1,SmartQ,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
3.7,Wisdomleaf Technologies,Android,744000,1,Bangalore,Full Time,Android,INR,8928.0
2.4,Travelyaari,Android Developer - Contractor,1200000,1,Bangalore,Contractor,Android,INR,14400.0
3.1,Nation Learns,Android,216000,1,Bangalore,Full Time,Android,INR,2592.0
4.2,Rapido,Android,1100000,1,Bangalore,Full Time,Android,INR,13200.0
2.8,Docket Tech,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.7,QuickRide,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.5,Six Dee Telecom Solutions,Android,720000,1,Bangalore,Full Time,Android,INR,8640.0
3.7,Food Vybe,Android,120000,1,Bangalore,Intern,Android,INR,1440.0
3.9,Tettares Software Solutions,Android,144000,1,Bangalore,Intern,Android,INR,1728.0
3.7,Center Parcs,Android,120000,1,Bangalore,Intern,Android,INR,1440.0
4.6,slice,Android,636000,1,Bangalore,Intern,Android,INR,7632.0
4.0,Tala,Android Developer - Contractor,1000000,1,Bangalore,Contractor,Android,INR,12000.0
3.3,The Otherside,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.2,Qleverlabs Technologies,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
3.2,ZopNow,Android,1200000,1,Bangalore,Full Time,Android,INR,14400.0
4.9,Spinta Digital,Android,360000,1,Bangalore,Full Time,Android,INR,4320.0
4.5,Groww,Android,708000,1,Bangalore,Intern,Android,INR,8496.0
4.0,nothing,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
1.8,Prowide Solutions,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
3.0,Teligenz Tech Solutions,Android,180000,1,Bangalore,Full Time,Android,INR,2160.0
3.5,Vebbler,Android,1300000,1,Bangalore,Full Time,Android,INR,15600.0
4.3,Melio Systems,Android,228000,1,Bangalore,Full Time,Android,INR,2736.0
4.0,Uniservice Technology Solutions,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.1,HealthifyMe,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
5.0,Simtech Solutions,Android,648000,1,Bangalore,Full Time,Android,INR,7776.0
2.9,MMAD Apps,Android,288000,1,Bangalore,Full Time,Android,INR,3456.0
4.8,Intugine Technologies,Android,372000,1,Bangalore,Full Time,Android,INR,4464.0
3.7,Blue Rose Technologies,Android,1300000,1,Bangalore,Full Time,Android,INR,15600.0
5.0,Talent Zone Consultants,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.9,Aspire Software Consultancy,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.6,Wenzins,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.0,Launchers World Software,Android,192000,1,Bangalore,Full Time,Android,INR,2304.0
4.3,Grab,Android,1200000,1,Bangalore,Full Time,Android,INR,14400.0
4.0,Mindtree,Android Developer - Contractor,600000,1,Bangalore,Contractor,Android,INR,7200.0
3.5,Easoftech Solutions,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
5.0,Rusé Home,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.9,TIGI HR Solution,Android,504000,1,Bangalore,Full Time,Android,INR,6048.0
4.4,QTalk,Android,288000,1,Bangalore,Intern,Android,INR,3456.0
4.1,Ubona,Android,1400000,1,Bangalore,Full Time,Android,INR,16800.0
4.5,KSJ Technology,Android Developer - Contractor,500000,1,Bangalore,Contractor,Android,INR,6000.0
4.4,Dozee,Android,444000,1,Bangalore,Full Time,Android,INR,5328.0
3.8,XYZ,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
3.9,Philips,Android,300000,1,Bangalore,Intern,Android,INR,3600.0
4.6,Razorthink,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.0,Nanite Solutions,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.0,DexIdeate,Android,252000,1,Bangalore,Full Time,Android,INR,3024.0
4.0,Fresherworld.com,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.0,Immersion Software Labs,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.3,MNM Media,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.1,Digital Aristotle,Android,1500000,1,Bangalore,Full Time,Android,INR,18000.0
2.1,GSA TechWorld,Android,384000,1,Bangalore,Full Time,Android,INR,4608.0
4.5,Google,Android,1900000,1,Bangalore,Full Time,Android,INR,22800.0
4.7,Inito,Android,672000,1,Bangalore,Full Time,Android,INR,8064.0
5.0,GetVu,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.0,ZaranTech,Android,516000,1,Bangalore,Full Time,Android,INR,6192.0
5.0,IBetterTechnologies,Android,588000,1,Bangalore,Full Time,Android,INR,7056.0
2.3,GPSDesk,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.7,adeptpros,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
4.1,Mishipay,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.2,Gozo,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.9,Retranz Infolabs,Android,168000,1,Bangalore,Intern,Android,INR,2016.0
4.0,Nuclei,Android,264000,1,Bangalore,Intern,Android,INR,3168.0
4.1,OliveBoard,Android,1100000,1,Bangalore,Full Time,Android,INR,13200.0
3.9,Mahiti Infotech,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.8,Henote Technologies,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.1,Plivo,Android,552000,1,Bangalore,Intern,Android,INR,6624.0
4.5,Myelin Foundry,Android,372000,1,Bangalore,Intern,Android,INR,4464.0
3.4,News Corp,Android,1600000,1,Bangalore,Full Time,Android,INR,19200.0
4.1,Lenskart Solutions,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
3.8,HungerBox,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
3.5,Appface,Android,168000,1,Bangalore,Contractor,Android,INR,2016.0
3.4,OYO,Android,1400000,1,Bangalore,Full Time,Android,INR,16800.0
3.6,T.I.G.E.R. Innovations,Android,540000,1,Bangalore,Full Time,Android,INR,6480.0
4.6,Appiness Interactive,Android,144000,1,Bangalore,Intern,Android,INR,1728.0
3.7,Diverse Lynx,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
4.8,Dropshop,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
4.0,Time Logic Solutions,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
5.0,Human Fractal.Ai,Android,168000,1,Bangalore,Intern,Android,INR,2016.0
3.7,Adaalo,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.8,Chumbak Design,Android,700000,1,Bangalore,Full Time,Android,INR,8400.0
4.2,Licious,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.0,Object Scope,Android,200000,1,Bangalore,Full Time,Android,INR,2400.0
3.3,Incture Technologies,Android,500000,1,Bangalore,Full Time,Android,INR,6000.0
4.1,Tesco Bengaluru,Android,1800000,1,Bangalore,Full Time,Android,INR,21600.0
3.9,ATG,Android,156000,1,Bangalore,Intern,Android,INR,1872.0
4.4,ZikraByte,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.0,Katerra,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.1,MountBlue Technologies,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.2,Embitel Technologies,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
2.3,Gypsee,Android,336000,1,Bangalore,Full Time,Android,INR,4032.0
4.0,Aspiring Wings Technologies,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
1.8,Gridlle,Android,228000,1,Bangalore,Full Time,Android,INR,2736.0
4.0,Nirav Patel,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
3.8,Amazon,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.5,FamPay,Android,1128000,1,Bangalore,Full Time,Android,INR,13536.0
3.2,InnoEye Technologies,Android,288000,1,Bangalore,Full Time,Android,INR,3456.0
3.9,AppZoy,Android,228000,1,Bangalore,Full Time,Android,INR,2736.0
2.8,Sprim,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.8,HummingWave Technologies,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.1,XXX Energy Drink,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.4,Tarams India,Android,900000,1,Bangalore,Full Time,Android,INR,10800.0
3.9,Unizen Technologies,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
4.0,The Sparks Foundation,Android,276000,1,Bangalore,Intern,Android,INR,3312.0
4.5,Zoho,Android,1100000,1,Bangalore,Full Time,Android,INR,13200.0
3.6,GoodWorkLabs Services,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.6,PurpleFront,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.1,GeoSpark,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
4.0,Q,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
1.8,ICT Health,Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.2,Tipstat,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
3.7,Arvind Internet,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.9,XYZ,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
4.2,AppScript Mobile Solutions,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.0,Knappily,Android,336000,1,Bangalore,Full Time,Android,INR,4032.0
3.8,Harsha,Android,240000,1,Bangalore,Full Time,Android,INR,2880.0
4.1,LeadSquared,Android,1200000,1,Bangalore,Full Time,Android,INR,14400.0
3.9,Solv (India),Android Developer - Contractor,500000,1,Bangalore,Contractor,Android,INR,6000.0
5.0,Walfin Tech,Android,1200000,1,Bangalore,Full Time,Android,INR,14400.0
4.0,by,Android,468000,1,Bangalore,Full Time,Android,INR,5616.0
3.7,Fincare Small Finanace Bank,Android,800000,1,Bangalore,Full Time,Android,INR,9600.0
5.0,Zingo Hotels,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.0,iHorse Technologies,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
5.0,DeepBiz,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
3.7,ITC Infotech,Android,400000,1,Bangalore,Full Time,Android,INR,4800.0
3.6,JustDial,Android,1600000,1,Bangalore,Full Time,Android,INR,19200.0
3.9,Landmark Group,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.0,Nones,Android,288000,1,Bangalore,Full Time,Android,INR,3456.0
4.3,Wow Labz,Android,216000,1,Bangalore,Intern,Android,INR,2592.0
4.0,eGlu (India),Android,600000,1,Bangalore,Full Time,Android,INR,7200.0
4.5,FamPay,Android,288000,1,Bangalore,Intern,Android,INR,3456.0
3.4,Sun Telematics,Android,132000,1,Bangalore,Full Time,Android,INR,1584.0
4.2,Redhat Safety Training & Consulting,Android,700000,1,Bangalore,Full Time,Android,INR,8400.0
3.0,Vestrics Technologies,Android,1100000,1,Bangalore,Full Time,Android,INR,13200.0
3.7,Saveo,Android,1100000,1,Bangalore,Full Time,Android,INR,13200.0
3.1,HireCraft,Android,324000,1,Bangalore,Full Time,Android,INR,3888.0
3.9,Inkoniq IT Solutions,Android,744000,1,Bangalore,Full Time,Android,INR,8928.0
4.0,StayGlad,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.0,Visionpix Technologies,Android,700000,1,Bangalore,Full Time,Android,INR,8400.0
4.1,Swiggy,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
3.3,Onn Bikes,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
4.1,Tententen Digital Products,Android,1000000,1,Bangalore,Full Time,Android,INR,12000.0
4.2,Blue Yonder,Android,372000,1,Bangalore,Full Time,Android,INR,4464.0
4.3,AppsXhone,Android,396000,1,Bangalore,Full Time,Android,INR,4752.0
3.7,Sysfore Technologies,Android,300000,1,Bangalore,Full Time,Android,INR,3600.0
2.4,Rheo TV,Android,396000,1,Bangalore,Full Time,Android,INR,4752.0
4.4,Rangam Infotech,Android,1200000,1,Bangalore,Full Time,Android,INR,14400.0
