work_year,experience_level,employment_type,job_title,SalaryLocal,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2023,senior,full-time,Ai Developer,260000,USD,260000,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Ai Developer,192000,USD,192000,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Scientist,169374,USD,169374,United States,remote,United States,Medium,Data Science and Research
2023,senior,full-time,Principal Data Scientist,195000,USD,195000,United States,remote,United States,Large,Data Science and Research
2023,senior,full-time,Data Science Lead,204500,USD,204500,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Science Lead,142200,USD,142200,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Engineer,181500,USD,181500,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,112200,USD,112200,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Machine Learning Engineer,204500,USD,204500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,142200,USD,142200,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Scientist,180000,USD,180000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,162000,USD,162000,United States,in-person,United States,Medium,Data Science and Research
2023,mid-level,full-time,Machine Learning Researcher,150000,USD,150000,United States,remote,United States,Medium,Machine Learning and AI
2023,mid-level,full-time,Machine Learning Researcher,100000,USD,100000,United States,remote,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,250500,USD,250500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,166600,USD,166600,United States,in-person,United States,Medium,Machine Learning and AI
2023,executive,full-time,Head Of Data,247500,USD,247500,United States,in-person,United States,Medium,Leadership and Management
2023,executive,full-time,Head Of Data,172200,USD,172200,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Machine Learning Engineer,247500,USD,247500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,172200,USD,172200,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Scientist,223290,USD,223290,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,131310,USD,131310,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Machine Learning Engineer,226600,USD,226600,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,140100,USD,140100,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Scientist,204500,USD,204500,Canada,in-person,Canada,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Scientist,142200,USD,142200,Canada,in-person,Canada,Medium,Machine Learning and AI
2023,senior,full-time,Research Scientist,220000,USD,220000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Research Scientist,140000,USD,140000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Machine Learning Engineer,204600,USD,204600,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,126500,USD,126500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Research Analyst,135960,USD,135960,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Research Analyst,70960,USD,70960,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Engineer,128750,USD,128750,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,86250,USD,86250,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,90000,GBP,110736,United Kingdom,in-person,United Kingdom,Medium,Data Engineering
2023,senior,full-time,Data Engineer,75000,GBP,92280,United Kingdom,in-person,United Kingdom,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,131000,USD,131000,Colombia,in-person,Colombia,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,88000,USD,88000,Colombia,in-person,Colombia,Medium,Data Engineering
2023,senior,full-time,Data Analyst,185100,USD,185100,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,133300,USD,133300,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Research Engineer,180000,USD,180000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Research Engineer,150000,USD,150000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Engineer,90000,USD,90000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,75000,USD,75000,United States,in-person,United States,Medium,Data Engineering
2023,entry-level,full-time,Ai Developer,130000,USD,130000,United States,remote,United States,Large,Machine Learning and AI
2023,senior,full-time,Data Analyst,60000,GBP,73824,United Kingdom,in-person,United Kingdom,Medium,Data Analysis
2023,senior,full-time,Data Analyst,50000,GBP,61520,United Kingdom,in-person,United Kingdom,Medium,Data Analysis
2023,mid-level,full-time,Data Manager,115500,USD,115500,United States,in-person,United States,Medium,Leadership and Management
2023,mid-level,full-time,Data Manager,73500,USD,73500,United States,in-person,United States,Medium,Leadership and Management
2023,mid-level,full-time,Ml Engineer,125000,USD,125000,United States,in-person,United States,Medium,Machine Learning and AI
2023,mid-level,full-time,Ml Engineer,85000,USD,85000,United States,in-person,United States,Medium,Machine Learning and AI
2023,mid-level,full-time,Data Manager,80000,USD,80000,United States,in-person,United States,Medium,Leadership and Management
2023,mid-level,full-time,Data Manager,70000,USD,70000,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Data Scientist,260000,USD,260000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,160000,USD,160000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Manager,105000,USD,105000,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Data Manager,80000,USD,80000,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Machine Learning Engineer,150000,USD,150000,Canada,remote,Canada,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,95000,USD,95000,Canada,remote,Canada,Medium,Machine Learning and AI
2023,senior,full-time,Data Engineer,204750,USD,204750,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,153550,USD,153550,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Analyst,150000,USD,150000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,120000,USD,120000,United States,remote,United States,Medium,Data Analysis
2023,mid-level,full-time,Data Engineer,150000,USD,150000,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,110000,USD,110000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,200000,USD,200000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,141000,USD,141000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,230000,USD,230000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,175000,USD,175000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Research Scientist,150000,USD,150000,United States,remote,United States,Medium,Data Science and Research
2023,senior,full-time,Research Scientist,120000,USD,120000,United States,remote,United States,Medium,Data Science and Research
2023,senior,full-time,Machine Learning Engineer,207611,USD,207611,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,127876,USD,127876,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Analyst,175000,USD,175000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,135000,USD,135000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,100000,USD,100000,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,75000,USD,75000,United States,in-person,United States,Medium,Data Analysis
2023,mid-level,full-time,Data Scientist,170000,USD,170000,United States,remote,United States,Medium,Data Science and Research
2023,mid-level,full-time,Data Scientist,144500,USD,144500,United States,remote,United States,Medium,Data Science and Research
2023,senior,full-time,Machine Learning Engineer,204500,USD,204500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,142200,USD,142200,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,255360,USD,255360,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,212800,USD,212800,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Engineer,170000,USD,170000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,100000,USD,100000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Data Analyst,106400,USD,106400,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,81800,USD,81800,United States,in-person,United States,Medium,Data Analysis
2023,mid-level,full-time,Data Developer,130000,USD,130000,United States,remote,United States,Medium,Leadership and Management
2023,mid-level,full-time,Data Developer,69139,USD,69139,United States,remote,United States,Medium,Leadership and Management
2023,mid-level,full-time,Business Intelligence Analyst,100631,USD,100631,Canada,in-person,Canada,Medium,BI and Visualization
2023,mid-level,full-time,Business Intelligence Analyst,80505,USD,80505,Canada,in-person,Canada,Medium,BI and Visualization
2023,senior,full-time,Data Infrastructure Engineer,151090,USD,151090,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Machine Learning Software Engineer,217600,USD,217600,United States,in-person,United States,Medium,Machine Learning and AI
2023,mid-level,full-time,Machine Learning Software Engineer,145000,USD,145000,United States,in-person,United States,Medium,Machine Learning and AI
2023,mid-level,full-time,Data Scientist,65000,GBP,79976,United Kingdom,remote,United Kingdom,Medium,Data Science and Research
2023,senior,full-time,Data Engineer,129000,USD,129000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,110000,USD,110000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Research Analyst,185000,USD,185000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Engineer,210000,USD,210000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,108000,USD,108000,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Analyst,80000,USD,80000,United States,in-person,United States,Medium,Data Analysis
2023,mid-level,full-time,Data Analyst,59500,USD,59500,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Machine Learning Engineer,250000,USD,250000,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,173400,USD,173400,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Architect,215000,USD,215000,United States,remote,United States,Medium,Data Architecture and Modeling
2023,senior,full-time,Data Architect,153000,USD,153000,United States,remote,United States,Medium,Data Architecture and Modeling
2023,senior,full-time,Machine Learning Scientist,171000,GBP,210398,United Kingdom,in-person,United Kingdom,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Scientist,120000,GBP,147648,United Kingdom,in-person,United Kingdom,Medium,Machine Learning and AI
2023,senior,full-time,Data Analyst,105000,USD,105000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,75000,USD,75000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Machine Learning Operations Engineer,60000,USD,60000,Thailand,remote,United States,Large,Machine Learning and AI
2023,senior,full-time,Data Engineer,202000,USD,202000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,132000,USD,132000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Data Scientist,185900,USD,185900,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,129300,USD,129300,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Machine Learning Engineer,204500,USD,204500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,142200,USD,142200,United States,in-person,United States,Medium,Machine Learning and AI
2023,mid-level,full-time,Data Analyst,60000,GBP,73824,United Kingdom,in-person,United Kingdom,Medium,Data Analysis
2023,mid-level,full-time,Data Analyst,50000,GBP,61520,United Kingdom,in-person,United Kingdom,Medium,Data Analysis
2023,senior,full-time,Data Scientist,202000,USD,202000,United States,in-person,United States,Medium,Data Science and Research
2023,mid-level,full-time,Ai Research Engineer,66000,GBP,81206,United Kingdom,in-person,United Kingdom,Medium,Data Science and Research
2023,executive,full-time,Head Of Machine Learning,188000,USD,188000,United States,in-person,United States,Medium,Machine Learning and AI
2023,mid-level,full-time,Bi Analyst,140000,USD,140000,United States,in-person,United States,Medium,BI and Visualization
2023,mid-level,full-time,Bi Analyst,110000,USD,110000,United States,in-person,United States,Medium,BI and Visualization
2023,senior,full-time,Machine Learning Researcher,190000,USD,190000,United States,remote,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Researcher,170000,USD,170000,United States,remote,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Engineer,180000,USD,180000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,162000,USD,162000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Research Analyst,150000,USD,150000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Research Analyst,125000,USD,125000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,140000,USD,140000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,105000,USD,105000,United States,in-person,United States,Medium,Data Science and Research
2023,mid-level,full-time,Data Specialist,90000,USD,90000,United States,remote,United States,Medium,Data Management and Strategy
2023,mid-level,full-time,Data Specialist,73000,USD,73000,United States,remote,United States,Medium,Data Management and Strategy
2023,mid-level,full-time,Data Scientist,145000,USD,145000,United States,remote,United States,Medium,Data Science and Research
2023,mid-level,full-time,Data Scientist,115000,USD,115000,United States,remote,United States,Medium,Data Science and Research
2023,senior,full-time,Data Manager,145000,USD,145000,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Data Manager,130000,USD,130000,United States,in-person,United States,Medium,Leadership and Management
2023,mid-level,full-time,Decision Scientist,204500,USD,204500,United States,in-person,United States,Medium,Data Science and Research
2023,mid-level,full-time,Decision Scientist,142200,USD,142200,United States,in-person,United States,Medium,Data Science and Research
2023,mid-level,full-time,Business Intelligence Analyst,150000,USD,150000,United States,remote,United States,Medium,BI and Visualization
2023,mid-level,full-time,Business Intelligence Analyst,135000,USD,135000,United States,remote,United States,Medium,BI and Visualization
2023,senior,full-time,Machine Learning Engineer,247500,USD,247500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,172200,USD,172200,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Business Intelligence Engineer,225000,USD,225000,United States,in-person,United States,Medium,BI and Visualization
2023,senior,full-time,Business Intelligence Engineer,156400,USD,156400,United States,in-person,United States,Medium,BI and Visualization
2023,senior,full-time,Data Engineer,190000,USD,190000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,170000,USD,170000,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Science Lead,185900,USD,185900,United States,in-person,United States,Medium,Data Science and Research
2023,mid-level,full-time,Data Science Lead,129300,USD,129300,United States,in-person,United States,Medium,Data Science and Research
