JobTitle,Industry,Salary,Risk,Location,Year,SourceDataset
,Telecommunications,80636.34417381912,Low,London,,ai_job_market_insights.csv
,Retail,52243.50321499295,Medium,Sydney,,ai_job_market_insights.csv
,Energy,75497.33812967277,High,London,,ai_job_market_insights.csv
,Entertainment,114881.07791724372,Low,Toronto,,ai_job_market_insights.csv
,Transportation,73532.81590843154,Medium,Paris,,ai_job_market_insights.csv
,Technology,102574.31721600612,Medium,Singapore,,ai_job_market_insights.csv
,Finance,65470.358203830205,Medium,San Francisco,,ai_job_market_insights.csv
,Entertainment,125421.91798621108,Low,Tokyo,,ai_job_market_insights.csv
,Technology,126752.1346612942,Low,Sydney,,ai_job_market_insights.csv
,Entertainment,101820.43113119752,Low,Berlin,,ai_job_market_insights.csv
,Energy,129825.05203287044,High,Berlin,,ai_job_market_insights.csv
,Technology,97115.85949855324,High,Berlin,,ai_job_market_insights.csv
,Education,105370.34228299111,Low,San Francisco,,ai_job_market_insights.csv
,Manufacturing,115238.6775346307,Medium,Berlin,,ai_job_market_insights.csv
,Education,93594.369061969,High,New York,,ai_job_market_insights.csv
,Telecommunications,58952.450768298775,Low,Sydney,,ai_job_market_insights.csv
,Manufacturing,105779.26710468795,Medium,New York,,ai_job_market_insights.csv
,Education,80562.80811133073,High,Paris,,ai_job_market_insights.csv
,Manufacturing,82049.4035808908,Medium,Sydney,,ai_job_market_insights.csv
,Manufacturing,95957.8983295738,Medium,New York,,ai_job_market_insights.csv
,Retail,101325.6175943474,Medium,Sydney,,ai_job_market_insights.csv
,Finance,93002.69268012435,Medium,Paris,,ai_job_market_insights.csv
,Finance,102714.59072314618,High,Dubai,,ai_job_market_insights.csv
,Retail,75862.85731879607,High,San Francisco,,ai_job_market_insights.csv
,Entertainment,89145.92410553433,High,San Francisco,,ai_job_market_insights.csv
,Healthcare,106981.70900901742,Low,Berlin,,ai_job_market_insights.csv
,Entertainment,125455.82352873433,High,London,,ai_job_market_insights.csv
,Technology,132528.71177946418,Medium,Berlin,,ai_job_market_insights.csv
,Technology,98659.53365455465,High,Toronto,,ai_job_market_insights.csv
,Manufacturing,106800.19653491216,Medium,New York,,ai_job_market_insights.csv
,Education,129631.5832963038,Low,Sydney,,ai_job_market_insights.csv
,Education,76583.27926533011,Medium,London,,ai_job_market_insights.csv
,Finance,102593.99705425168,Medium,Paris,,ai_job_market_insights.csv
,Transportation,105366.85898972292,Medium,Toronto,,ai_job_market_insights.csv
,Entertainment,118957.22872153488,Low,Paris,,ai_job_market_insights.csv
,Telecommunications,67257.17238927555,High,San Francisco,,ai_job_market_insights.csv
,Energy,71211.88432398967,High,San Francisco,,ai_job_market_insights.csv
,Education,90427.64422209412,Low,Berlin,,ai_job_market_insights.csv
,Energy,97554.55324643273,Medium,New York,,ai_job_market_insights.csv
,Manufacturing,112457.27907467616,High,London,,ai_job_market_insights.csv
,Energy,100350.87551624542,Low,Singapore,,ai_job_market_insights.csv
,Telecommunications,86971.73539779433,High,Toronto,,ai_job_market_insights.csv
,Retail,98329.2288951228,Low,Toronto,,ai_job_market_insights.csv
,Telecommunications,96020.88952548904,Medium,Berlin,,ai_job_market_insights.csv
,Energy,124900.32859975575,High,San Francisco,,ai_job_market_insights.csv
,Telecommunications,93313.17887137063,Low,Berlin,,ai_job_market_insights.csv
,Healthcare,82338.33172894873,High,Sydney,,ai_job_market_insights.csv
,Manufacturing,98992.1806014366,High,London,,ai_job_market_insights.csv
,Entertainment,93969.70638677065,High,New York,,ai_job_market_insights.csv
,Retail,58580.13288650656,High,Dubai,,ai_job_market_insights.csv
,Education,89686.95876755661,Low,Tokyo,,ai_job_market_insights.csv
,Technology,87985.23509187989,Medium,Tokyo,,ai_job_market_insights.csv
,Entertainment,79122.56268441367,Low,Berlin,,ai_job_market_insights.csv
,Technology,110711.66575245943,Low,Sydney,,ai_job_market_insights.csv
,Manufacturing,74286.40806776009,Low,London,,ai_job_market_insights.csv
,Retail,99112.37239049075,Medium,Singapore,,ai_job_market_insights.csv
,Finance,87042.86000312539,High,Tokyo,,ai_job_market_insights.csv
,Education,92153.90011293563,High,London,,ai_job_market_insights.csv
,Healthcare,98235.72582091736,High,New York,,ai_job_market_insights.csv
,Finance,63848.51232217997,Medium,Paris,,ai_job_market_insights.csv
,Manufacturing,93833.21783469566,High,Sydney,,ai_job_market_insights.csv
,Entertainment,135778.94979426413,Medium,San Francisco,,ai_job_market_insights.csv
,Healthcare,58864.73308242552,High,London,,ai_job_market_insights.csv
,Telecommunications,88847.84072568991,High,New York,,ai_job_market_insights.csv
,Energy,112464.7864964764,Low,Singapore,,ai_job_market_insights.csv
,Healthcare,96032.38495907192,Medium,Dubai,,ai_job_market_insights.csv
,Manufacturing,103759.33904232067,Low,San Francisco,,ai_job_market_insights.csv
,Transportation,42486.67977814768,Low,Dubai,,ai_job_market_insights.csv
,Energy,101964.987492599,Low,Singapore,,ai_job_market_insights.csv
,Technology,74766.23587532803,Medium,New York,,ai_job_market_insights.csv
,Education,96197.54569166292,Medium,Tokyo,,ai_job_market_insights.csv
,Technology,89411.30538181018,High,Dubai,,ai_job_market_insights.csv
,Healthcare,135566.66058323265,Low,San Francisco,,ai_job_market_insights.csv
,Technology,100933.9064753175,High,Berlin,,ai_job_market_insights.csv
,Manufacturing,87747.52341474428,Low,Toronto,,ai_job_market_insights.csv
,Telecommunications,59806.144814928906,Medium,London,,ai_job_market_insights.csv
,Entertainment,92422.93803699792,Medium,Tokyo,,ai_job_market_insights.csv
,Education,106464.57756693644,Medium,Dubai,,ai_job_market_insights.csv
,Technology,88388.96216361554,Low,Paris,,ai_job_market_insights.csv
,Technology,79886.87280125119,Medium,London,,ai_job_market_insights.csv
,Healthcare,78548.26672307363,Low,Berlin,,ai_job_market_insights.csv
,Entertainment,100702.8287091064,High,Singapore,,ai_job_market_insights.csv
,Finance,105187.75878618314,Low,Toronto,,ai_job_market_insights.csv
,Technology,117224.20230642238,High,New York,,ai_job_market_insights.csv
,Manufacturing,70100.00213579283,Low,Berlin,,ai_job_market_insights.csv
,Transportation,100519.55116835234,High,Berlin,,ai_job_market_insights.csv
,Education,87565.92091164265,Medium,Singapore,,ai_job_market_insights.csv
,Technology,88155.31590733438,High,Sydney,,ai_job_market_insights.csv
,Manufacturing,98036.51708068005,Medium,Singapore,,ai_job_market_insights.csv
,Manufacturing,98153.12507249897,Medium,Sydney,,ai_job_market_insights.csv
,Education,100575.36211583146,High,Sydney,,ai_job_market_insights.csv
,Finance,68850.5761560838,Low,Tokyo,,ai_job_market_insights.csv
,Manufacturing,75003.77185667082,Low,Tokyo,,ai_job_market_insights.csv
,Transportation,119717.36551035367,Low,San Francisco,,ai_job_market_insights.csv
,Manufacturing,85588.5506503832,Low,Dubai,,ai_job_market_insights.csv
,Manufacturing,96120.28796035792,Low,Dubai,,ai_job_market_insights.csv
,Manufacturing,111093.32624086372,Medium,New York,,ai_job_market_insights.csv
,Telecommunications,99268.86144721638,Low,Dubai,,ai_job_market_insights.csv
,Telecommunications,100930.45261944078,Medium,Tokyo,,ai_job_market_insights.csv
,Finance,107891.55358487512,Medium,San Francisco,,ai_job_market_insights.csv
,Technology,47666.72478206,Medium,San Francisco,,ai_job_market_insights.csv
,Manufacturing,80200.99689678931,High,Sydney,,ai_job_market_insights.csv
,Entertainment,99372.11592999184,High,Singapore,,ai_job_market_insights.csv
,Technology,117752.88614115314,Medium,New York,,ai_job_market_insights.csv
,Finance,91321.91119311546,High,Sydney,,ai_job_market_insights.csv
,Retail,73105.67076487809,Low,Singapore,,ai_job_market_insights.csv
,Technology,73638.27900778996,Low,Dubai,,ai_job_market_insights.csv
,Technology,107677.22406906149,Medium,Sydney,,ai_job_market_insights.csv
,Energy,85644.52835216226,Low,London,,ai_job_market_insights.csv
,Healthcare,89855.99908419327,Medium,Dubai,,ai_job_market_insights.csv
,Energy,102300.60387544638,Medium,Singapore,,ai_job_market_insights.csv
,Transportation,31969.52634612842,Low,New York,,ai_job_market_insights.csv
,Telecommunications,130007.35023016162,High,Singapore,,ai_job_market_insights.csv
,Telecommunications,75378.52329897878,Low,Sydney,,ai_job_market_insights.csv
,Healthcare,94838.72738947145,Low,Sydney,,ai_job_market_insights.csv
,Education,55906.05973007458,Medium,Berlin,,ai_job_market_insights.csv
,Education,81549.17779189924,Medium,New York,,ai_job_market_insights.csv
,Finance,114893.76092730192,Medium,Paris,,ai_job_market_insights.csv
,Healthcare,51676.65640668242,Medium,Dubai,,ai_job_market_insights.csv
,Technology,112524.00174378282,High,San Francisco,,ai_job_market_insights.csv
,Education,84526.07807535231,High,New York,,ai_job_market_insights.csv
,Manufacturing,99743.28880440384,High,San Francisco,,ai_job_market_insights.csv
,Entertainment,103150.4882697022,Medium,New York,,ai_job_market_insights.csv
,Technology,98828.42998981853,Medium,New York,,ai_job_market_insights.csv
,Transportation,72700.98696738348,Medium,Singapore,,ai_job_market_insights.csv
,Manufacturing,82709.01706929953,High,New York,,ai_job_market_insights.csv
,Manufacturing,60768.876454983685,Medium,Berlin,,ai_job_market_insights.csv
,Healthcare,99835.9266317616,Low,Paris,,ai_job_market_insights.csv
,Finance,124041.10308031851,Low,Sydney,,ai_job_market_insights.csv
,Transportation,53511.18226647075,Medium,Toronto,,ai_job_market_insights.csv
,Education,74767.0818772393,Low,San Francisco,,ai_job_market_insights.csv
,Healthcare,86364.49448234134,Low,Sydney,,ai_job_market_insights.csv
,Education,93466.82847427108,High,Toronto,,ai_job_market_insights.csv
,Healthcare,107583.52602868852,Medium,Paris,,ai_job_market_insights.csv
,Healthcare,86956.00039284666,Medium,Paris,,ai_job_market_insights.csv
,Healthcare,83680.825471087,High,San Francisco,,ai_job_market_insights.csv
,Finance,112062.6141213948,Low,San Francisco,,ai_job_market_insights.csv
,Healthcare,103239.91134126612,Low,Paris,,ai_job_market_insights.csv
,Retail,100779.55951402197,Medium,Toronto,,ai_job_market_insights.csv
,Entertainment,92250.31423176228,Low,New York,,ai_job_market_insights.csv
,Education,109663.04421839718,High,Dubai,,ai_job_market_insights.csv
,Technology,76873.81217539468,High,London,,ai_job_market_insights.csv
,Energy,74146.11435627844,Medium,Sydney,,ai_job_market_insights.csv
,Transportation,104922.01973738648,High,Singapore,,ai_job_market_insights.csv
,Telecommunications,57499.28061506184,High,Sydney,,ai_job_market_insights.csv
,Finance,91843.59019272974,Medium,Singapore,,ai_job_market_insights.csv
,Technology,83668.83295474976,High,Toronto,,ai_job_market_insights.csv
,Manufacturing,61884.90538694088,High,Singapore,,ai_job_market_insights.csv
,Retail,71374.64840567471,High,San Francisco,,ai_job_market_insights.csv
,Telecommunications,87820.47815409301,Low,Dubai,,ai_job_market_insights.csv
,Energy,110679.26512998046,Medium,Dubai,,ai_job_market_insights.csv
,Technology,76940.84017484378,Medium,San Francisco,,ai_job_market_insights.csv
,Telecommunications,114267.62799809988,Medium,Berlin,,ai_job_market_insights.csv
,Technology,91263.58455113032,Low,Toronto,,ai_job_market_insights.csv
,Retail,116207.69404339942,Low,Berlin,,ai_job_market_insights.csv
,Energy,77910.16782439903,Medium,Berlin,,ai_job_market_insights.csv
,Manufacturing,89023.80823789263,Low,Sydney,,ai_job_market_insights.csv
,Healthcare,97369.6720667399,Medium,Paris,,ai_job_market_insights.csv
,Education,86409.79074516977,Low,Sydney,,ai_job_market_insights.csv
,Manufacturing,109060.48294290472,High,Paris,,ai_job_market_insights.csv
,Healthcare,45848.72549419468,High,London,,ai_job_market_insights.csv
,Finance,138448.1107757988,Medium,Singapore,,ai_job_market_insights.csv
,Entertainment,107155.49213990325,Low,Paris,,ai_job_market_insights.csv
,Transportation,86529.36341929967,Low,San Francisco,,ai_job_market_insights.csv
,Transportation,78953.56652845311,High,Sydney,,ai_job_market_insights.csv
,Education,72671.58777102892,High,Toronto,,ai_job_market_insights.csv
,Energy,102912.30948339474,Low,Singapore,,ai_job_market_insights.csv
,Retail,109899.63337584709,Low,London,,ai_job_market_insights.csv
,Energy,86749.477437402,Low,Paris,,ai_job_market_insights.csv
,Retail,112139.80825957004,Low,London,,ai_job_market_insights.csv
,Energy,71854.79906477756,Low,Toronto,,ai_job_market_insights.csv
,Entertainment,68323.78300026328,Low,Berlin,,ai_job_market_insights.csv
,Finance,126266.82410491098,Medium,Dubai,,ai_job_market_insights.csv
,Finance,101822.17227077084,Low,Toronto,,ai_job_market_insights.csv
,Healthcare,117936.96403626657,High,Tokyo,,ai_job_market_insights.csv
,Telecommunications,72921.20583224614,Medium,Toronto,,ai_job_market_insights.csv
,Finance,71529.49216462541,Low,London,,ai_job_market_insights.csv
,Finance,82827.81361084916,High,San Francisco,,ai_job_market_insights.csv
,Manufacturing,73518.82316921977,Medium,Sydney,,ai_job_market_insights.csv
,Manufacturing,104107.30420456902,High,San Francisco,,ai_job_market_insights.csv
,Healthcare,74977.47886147109,Low,London,,ai_job_market_insights.csv
,Telecommunications,66566.60283865419,Low,Sydney,,ai_job_market_insights.csv
,Education,92840.30824510464,Low,Tokyo,,ai_job_market_insights.csv
,Manufacturing,64200.27648349573,Low,Dubai,,ai_job_market_insights.csv
,Education,54010.72137049221,Medium,Singapore,,ai_job_market_insights.csv
,Technology,92665.14467722556,Medium,London,,ai_job_market_insights.csv
,Manufacturing,55015.5991397958,High,Paris,,ai_job_market_insights.csv
,Entertainment,105505.58792590846,Low,London,,ai_job_market_insights.csv
,Telecommunications,62093.32547494408,High,London,,ai_job_market_insights.csv
,Healthcare,45186.52427160505,Medium,Sydney,,ai_job_market_insights.csv
,Technology,84124.06699718411,Low,New York,,ai_job_market_insights.csv
,Telecommunications,92891.89006592968,Low,Toronto,,ai_job_market_insights.csv
,Entertainment,99829.50127363882,Medium,New York,,ai_job_market_insights.csv
,Telecommunications,93440.31398031706,Medium,Tokyo,,ai_job_market_insights.csv
,Entertainment,68813.74757764515,Medium,Paris,,ai_job_market_insights.csv
,Entertainment,104261.22361853208,Medium,Dubai,,ai_job_market_insights.csv
,Education,109202.77012959492,Medium,Berlin,,ai_job_market_insights.csv
,Energy,65884.75743088922,Low,Tokyo,,ai_job_market_insights.csv
,Technology,86379.87722680772,Medium,Berlin,,ai_job_market_insights.csv
,Telecommunications,84511.1994578196,Low,Berlin,,ai_job_market_insights.csv
,Retail,94407.63165576068,Low,Dubai,,ai_job_market_insights.csv
,Technology,85901.52416451782,Medium,San Francisco,,ai_job_market_insights.csv
,Energy,88642.44455854046,Medium,New York,,ai_job_market_insights.csv
,Technology,102836.31060483382,Low,London,,ai_job_market_insights.csv
,Finance,67722.93800797733,Medium,Singapore,,ai_job_market_insights.csv
,Retail,104747.46270521649,Medium,Berlin,,ai_job_market_insights.csv
,Energy,112822.65463062502,Medium,Paris,,ai_job_market_insights.csv
,Education,122682.69986977737,High,Tokyo,,ai_job_market_insights.csv
,Telecommunications,47132.65351725282,Low,San Francisco,,ai_job_market_insights.csv
,Transportation,86341.96685769563,High,Berlin,,ai_job_market_insights.csv
,Energy,50697.98851292822,Medium,San Francisco,,ai_job_market_insights.csv
,Healthcare,41298.72620454353,High,San Francisco,,ai_job_market_insights.csv
,Telecommunications,92881.86095214955,Medium,Berlin,,ai_job_market_insights.csv
,Energy,82016.96414299277,High,Sydney,,ai_job_market_insights.csv
,Finance,95997.01903541492,Medium,Toronto,,ai_job_market_insights.csv
,Transportation,99722.55380174633,High,Paris,,ai_job_market_insights.csv
,Finance,114957.91916215842,High,London,,ai_job_market_insights.csv
,Transportation,91078.4085061156,High,London,,ai_job_market_insights.csv
,Healthcare,148467.11234638176,Low,Paris,,ai_job_market_insights.csv
,Telecommunications,96128.19709970424,High,Sydney,,ai_job_market_insights.csv
,Education,126849.58089134425,Low,London,,ai_job_market_insights.csv
,Finance,43343.24398951503,Medium,San Francisco,,ai_job_market_insights.csv
,Finance,116994.7905910125,High,Dubai,,ai_job_market_insights.csv
,Entertainment,86384.7902040888,Medium,Tokyo,,ai_job_market_insights.csv
,Transportation,51033.05481145457,Medium,New York,,ai_job_market_insights.csv
,Manufacturing,98410.9021845624,High,London,,ai_job_market_insights.csv
,Telecommunications,83940.88924031366,Low,Paris,,ai_job_market_insights.csv
,Transportation,101601.06496896283,High,Dubai,,ai_job_market_insights.csv
,Entertainment,110221.52915102156,Medium,Berlin,,ai_job_market_insights.csv
,Technology,60216.99766476808,Medium,Toronto,,ai_job_market_insights.csv
,Transportation,110298.37964910315,High,Paris,,ai_job_market_insights.csv
,Education,90129.58968441431,Low,San Francisco,,ai_job_market_insights.csv
,Telecommunications,117056.82349386544,Low,Toronto,,ai_job_market_insights.csv
,Entertainment,85897.03542004264,Medium,Tokyo,,ai_job_market_insights.csv
,Technology,80591.82214937158,Medium,Tokyo,,ai_job_market_insights.csv
,Retail,90541.08081377904,Low,Sydney,,ai_job_market_insights.csv
,Entertainment,92037.21412759706,High,Singapore,,ai_job_market_insights.csv
,Retail,76744.30397016529,Medium,Sydney,,ai_job_market_insights.csv
,Telecommunications,80073.90538089433,Low,Dubai,,ai_job_market_insights.csv
,Finance,65462.48930972422,Medium,Toronto,,ai_job_market_insights.csv
,Entertainment,81307.09820419611,High,Singapore,,ai_job_market_insights.csv
,Healthcare,103526.20119995158,Low,Berlin,,ai_job_market_insights.csv
,Retail,87252.91652187712,Medium,San Francisco,,ai_job_market_insights.csv
,Education,110181.30592094656,High,Toronto,,ai_job_market_insights.csv
,Healthcare,86291.41064693853,Medium,Sydney,,ai_job_market_insights.csv
,Energy,61369.64004553371,High,New York,,ai_job_market_insights.csv
,Energy,101945.49775113164,High,Singapore,,ai_job_market_insights.csv
,Technology,76527.53717933195,Low,Singapore,,ai_job_market_insights.csv
,Finance,85332.65422472931,High,San Francisco,,ai_job_market_insights.csv
,Telecommunications,114751.44094968236,Medium,London,,ai_job_market_insights.csv
,Entertainment,66782.59080556972,High,Tokyo,,ai_job_market_insights.csv
,Manufacturing,93294.8757492877,High,Tokyo,,ai_job_market_insights.csv
,Education,89189.63299928416,Low,New York,,ai_job_market_insights.csv
,Retail,104018.51430874206,High,Dubai,,ai_job_market_insights.csv
,Telecommunications,107103.06730964044,High,Dubai,,ai_job_market_insights.csv
,Healthcare,95276.78008497784,Medium,Berlin,,ai_job_market_insights.csv
,Energy,82792.507068392,Low,Toronto,,ai_job_market_insights.csv
,Education,99467.4500805192,Low,Paris,,ai_job_market_insights.csv
,Manufacturing,116713.11794289124,Low,London,,ai_job_market_insights.csv
,Entertainment,89454.20120720599,High,Sydney,,ai_job_market_insights.csv
,Technology,84654.87771153946,Low,Paris,,ai_job_market_insights.csv
,Manufacturing,97763.4051533598,High,Paris,,ai_job_market_insights.csv
,Education,90774.54040739224,High,Singapore,,ai_job_market_insights.csv
,Manufacturing,63245.81152164402,Medium,New York,,ai_job_market_insights.csv
,Education,94786.61600794963,Medium,Tokyo,,ai_job_market_insights.csv
,Education,63064.75182472472,Medium,Berlin,,ai_job_market_insights.csv
,Transportation,97489.6129281689,Medium,Dubai,,ai_job_market_insights.csv
,Retail,74057.14551186866,Medium,New York,,ai_job_market_insights.csv
,Energy,90737.49608372692,High,Singapore,,ai_job_market_insights.csv
,Transportation,97811.87812398472,High,Sydney,,ai_job_market_insights.csv
,Entertainment,139078.06691887142,Low,Berlin,,ai_job_market_insights.csv
,Transportation,104854.99923573848,High,Singapore,,ai_job_market_insights.csv
,Finance,117295.97619484668,High,Tokyo,,ai_job_market_insights.csv
,Finance,127434.9563738785,Medium,Tokyo,,ai_job_market_insights.csv
,Energy,99785.1183399889,High,Tokyo,,ai_job_market_insights.csv
,Manufacturing,95713.796005344,Medium,New York,,ai_job_market_insights.csv
,Retail,68665.57782347569,Low,New York,,ai_job_market_insights.csv
,Energy,87667.40135199211,Low,Dubai,,ai_job_market_insights.csv
,Education,75538.24540728275,High,Dubai,,ai_job_market_insights.csv
,Healthcare,81978.82299751228,Low,Sydney,,ai_job_market_insights.csv
,Retail,127413.26752384935,High,Berlin,,ai_job_market_insights.csv
,Retail,92292.4301839998,Low,San Francisco,,ai_job_market_insights.csv
,Education,72482.00844567783,Medium,San Francisco,,ai_job_market_insights.csv
,Education,117490.66909382609,Medium,Singapore,,ai_job_market_insights.csv
,Technology,109105.50952474898,Medium,Tokyo,,ai_job_market_insights.csv
,Energy,110153.06985200792,Medium,Berlin,,ai_job_market_insights.csv
,Education,49877.3959379521,High,Paris,,ai_job_market_insights.csv
,Finance,128973.41915442972,Low,New York,,ai_job_market_insights.csv
,Entertainment,78829.70515812226,High,Toronto,,ai_job_market_insights.csv
,Healthcare,105559.0954558551,Medium,London,,ai_job_market_insights.csv
,Energy,140475.99581234064,High,Sydney,,ai_job_market_insights.csv
,Telecommunications,133106.65496381235,Low,Tokyo,,ai_job_market_insights.csv
,Finance,70448.75749054627,High,Tokyo,,ai_job_market_insights.csv
,Manufacturing,61109.65325995454,Low,Tokyo,,ai_job_market_insights.csv
,Education,118606.93197695856,High,New York,,ai_job_market_insights.csv
,Telecommunications,92841.11623188,Low,New York,,ai_job_market_insights.csv
,Education,79982.3711739584,Low,London,,ai_job_market_insights.csv
,Retail,102424.37093878096,Medium,Paris,,ai_job_market_insights.csv
,Finance,86742.40845081118,Low,Berlin,,ai_job_market_insights.csv
,Retail,104026.48274097488,Medium,Tokyo,,ai_job_market_insights.csv
,Technology,91339.63615637466,Medium,San Francisco,,ai_job_market_insights.csv
,Retail,104447.75856656334,Medium,Dubai,,ai_job_market_insights.csv
,Technology,72109.34621727222,High,San Francisco,,ai_job_market_insights.csv
,Technology,118489.24026265267,High,Singapore,,ai_job_market_insights.csv
,Telecommunications,103952.46741464877,High,San Francisco,,ai_job_market_insights.csv
,Education,102925.94738807144,High,Singapore,,ai_job_market_insights.csv
,Manufacturing,67646.60145976013,Low,Toronto,,ai_job_market_insights.csv
,Retail,123992.64833288494,Low,Dubai,,ai_job_market_insights.csv
,Finance,89725.67801267463,High,San Francisco,,ai_job_market_insights.csv
,Technology,104560.97724859684,Low,Toronto,,ai_job_market_insights.csv
,Education,83543.51072506783,Low,Sydney,,ai_job_market_insights.csv
,Healthcare,95217.78129364197,Medium,Berlin,,ai_job_market_insights.csv
,Energy,95942.54704238808,Medium,Toronto,,ai_job_market_insights.csv
,Telecommunications,33601.38135993158,Medium,Berlin,,ai_job_market_insights.csv
,Manufacturing,101648.96249309662,Medium,San Francisco,,ai_job_market_insights.csv
,Transportation,129306.82923444168,Low,Paris,,ai_job_market_insights.csv
,Telecommunications,100795.60517983914,High,Toronto,,ai_job_market_insights.csv
,Healthcare,70845.83502220524,Low,Dubai,,ai_job_market_insights.csv
,Energy,102999.23132307774,Low,San Francisco,,ai_job_market_insights.csv
